1.19	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-35mm2*1C*2+PVC-16mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	2*35+1*16	
1.20	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-35mm2*1C*3+PVC-16mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*35+1*16	
1.21	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-35mm2*1C*4+PVC-16mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*35+1*16	
1.22	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-50mm2*1C*2+PVC-25mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	2*50+1*25	
1.23	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-50mm2*1C*3+PVC-25mm2*1C  单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*50+1*25	
1.24	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-50mm2*1C*4+PVC-25mm2*1C  单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*50+1*25	
1.25	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-70mm2*1C*3+PVC-35mm2*1C  单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*70+1*35	
1.26	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-70mm2*1C*4+PVC-35mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*70+1*35	
1.27	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-70mm2*1C*6+PVC-70mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*(2*70)+1*70	
1.28	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-70mm2*1C*8+PVC-70mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*(2*70)+1*70	
1.29	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-95mm2*1C*3+PVC-50mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*95+1*50	
1.30	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-95mm2*1C*4+PVC-50mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*95+1*50	
1.31	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-95mm2*1C*6+PVC-95mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*(2*95)+1*95	
1.32	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-95mm2*1C*8+PVC-95mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*(2*95)+1*95	
1.33	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-120mm2*1C*3+PVC-70mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*120+1*70	
1.34	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-120mm2*1C*4+PVC-70mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*120+1*70	
1.35	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-120mm2*1C*6+PVC-120mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*(2*120)+1*120	
1.36	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-120mm2*1C*8+PVC-120mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*(2*120)+1*120	
1.37	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-150mm2*1C*3+PVC-70mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*150+1*70	
1.38	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-150mm2*1C*4+PVC-70mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*150+1*70	
1.39	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-150mm2*1C*6+PVC-150mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*(2*150)+1*150	
1.40	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-150mm2*1C*8+PVC-150mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*(2*150)+1*150	
1.41	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-185mm2*1C*3+PVC-95mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*185+1*95	
1.42	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-185mm2*1C*4+PVC-95mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*185+1*95	
1.43	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-185mm2*1C*6+PVC-185mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*(2*185)+1*185	
1.44	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-185mm2*1C*8+PVC-185mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*(2*185)+1*185	
1.45	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-240mm2*1C*3+PVC-120mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*240+1*120	
1.46	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-240mm2*1C*4+PVC-120mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*240+1*120	
1.47	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-240mm2*1C*6+PVC-240mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	3*(2*240)+1*240	
1.48	电缆	单芯电缆 XLPE	1.名称:0.6/1kV-YJV-240mm2*1C*8+PVC-240mm2*1C 单芯电缆\n2.配线形式:穿管或桥架敷设\n3.说明:电缆分色为绝缘分色；包含电缆接头；支吊架；封堵；测试等一切主辅材料\n4.其他:详见技术规范及招标人要求	m	4*(2*240)+1*240	
2.1	桥架	桥架	1.名称:梯形桥架800Wx150H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	800*150	
2.2	桥架	桥架	1.名称:梯形桥架600Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	600*100	
2.3	桥架	桥架	1.名称:梯形桥架500Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	500*100	
2.4	桥架	桥架	1.名称:梯形桥架400Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	400*100	
2.5	桥架	桥架	1.名称:梯形桥架300Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	300*100	
2.6	桥架	桥架	1.名称:梯形桥架200Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	200*100	
2.7	桥架	桥架	1.名称:梯形桥架150Wx100H\n2.材质:铝合金粉体烤漆\n3.说明:包含成品弯头及桥架施工一切主材及辅材；跨接线；支吊架；标签；施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	150*100	
